-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Latitude  53.1832   Longitude -130.831 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WS50M
2024,1,1,0,6.52,7.16
2024,1,1,1,6.38,7.02
2024,1,1,2,6.14,6.75
2024,1,1,3,5.73,6.29
2024,1,1,4,5.28,5.8
2024,1,1,5,5.01,5.5
2024,1,1,6,5.16,5.68
2024,1,1,7,5.9,6.51
2024,1,1,8,7.08,7.89
2024,1,1,9,8.3,9.32
2024,1,1,10,9.44,10.74
2024,1,1,11,10.61,12.19
2024,1,1,12,11.33,13.25
2024,1,1,13,11.99,14.04
2024,1,1,14,12.47,14.59
2024,1,1,15,13.01,15.17
2024,1,1,16,13.46,15.55
2024,1,1,17,13.74,15.83
2024,1,1,18,14.08,16.21
2024,1,1,19,14.17,16.28
2024,1,1,20,14.07,16.17
2024,1,1,21,13.82,15.9
2024,1,1,22,13.42,15.47
2024,1,1,23,12.95,15.03
2024,1,2,0,12.47,14.66
2024,1,2,1,11.6,13.62
2024,1,2,2,10.86,12.79
2024,1,2,3,10.49,12.32
2024,1,2,4,10.35,12.11
2024,1,2,5,9.84,11.38
2024,1,2,6,8.86,10.15
2024,1,2,7,7.5,8.5
2024,1,2,8,6.11,6.82
2024,1,2,9,4.97,5.47
2024,1,2,10,4.22,4.59
2024,1,2,11,3.89,4.18
2024,1,2,12,4.06,4.34
2024,1,2,13,4.27,4.58
2024,1,2,14,4.17,4.47
2024,1,2,15,4.28,4.59
2024,1,2,16,4.42,4.73
2024,1,2,17,4.4,4.72
2024,1,2,18,4.59,4.94
2024,1,2,19,5.04,5.48
2024,1,2,20,5.71,6.33
2024,1,2,21,6.21,6.96
2024,1,2,22,6.36,7.14
2024,1,2,23,6.49,7.25
2024,1,3,0,6.59,7.27
2024,1,3,1,6.87,7.52
2024,1,3,2,7.2,7.88
2024,1,3,3,7.49,8.22
2024,1,3,4,7.9,8.76
2024,1,3,5,8.69,9.87
2024,1,3,6,9.07,10.48
2024,1,3,7,9.46,11.09
2024,1,3,8,10.05,11.88
2024,1,3,9,10.58,12.57
2024,1,3,10,10.98,12.98
2024,1,3,11,11.25,13.26
2024,1,3,12,11.48,13.46
2024,1,3,13,11.42,13.42
2024,1,3,14,11.67,13.79
2024,1,3,15,11.99,14.14
2024,1,3,16,12.42,14.67
2024,1,3,17,12.82,15.19
2024,1,3,18,13.2,15.62
2024,1,3,19,13.48,15.76
2024,1,3,20,12.99,15.08
2024,1,3,21,11.75,13.65
2024,1,3,22,10.48,12.17
2024,1,3,23,10.27,11.89
2024,1,4,0,10.24,11.75
2024,1,4,1,9.91,11.39
2024,1,4,2,9.5,10.93
2024,1,4,3,8.91,10.19
2024,1,4,4,8.46,9.63
2024,1,4,5,8.44,9.58
2024,1,4,6,8.62,9.73
2024,1,4,7,8.67,9.81
2024,1,4,8,8.61,9.74
2024,1,4,9,8.57,9.68
2024,1,4,10,8.36,9.43
2024,1,4,11,7.93,8.94
2024,1,4,12,7.22,8.16
2024,1,4,13,6.46,7.27
2024,1,4,14,6.79,7.64
2024,1,4,15,7.64,8.57
2024,1,4,16,8.49,9.44
2024,1,4,17,8.92,9.79
2024,1,4,18,8.22,9.01
2024,1,4,19,6.87,7.44
2024,1,4,20,6.03,6.53
2024,1,4,21,7.2,7.99
2024,1,4,22,8.6,9.71
2024,1,4,23,9.03,10.23
2024,1,5,0,9.57,10.9
2024,1,5,1,10.48,11.9
2024,1,5,2,12.27,13.77
2024,1,5,3,12.63,14.22
2024,1,5,4,11.61,13.4
2024,1,5,5,11.56,13.59
2024,1,5,6,12.11,14.16
2024,1,5,7,13.04,15.15
2024,1,5,8,13.8,16.03
2024,1,5,9,14.1,16.44
2024,1,5,10,14.16,16.49
2024,1,5,11,14.01,16.27
2024,1,5,12,13.74,15.92
2024,1,5,13,13.5,15.59
2024,1,5,14,13.14,15.07
2024,1,5,15,12.77,14.55
2024,1,5,16,12.29,13.9
2024,1,5,17,11.5,12.88
